Player,Team,Position,Age,Date of Birth,Birth Country,Height (in),Weight (lbs),Draft Year,Draft Team,Draft Round,Round Pick,Overall Draft Position
Vladislav Kolyachonok,ARI,D,22,2001-05-26,BLR,73,193,2019,FLA,2,21,52
Vasily Podkolzin,VAN,R,22,2001-06-24,RUS,73,190,2019,VAN,1,10,10
Alex Newhook,COL,C,23,2001-01-28,CAN,70,190,2019,COL,1,16,16
Ilya Mikheyev,TOR,R,29,1994-10-10,RUS,74,192,-,-,-,-,-
Arttu Ruotsalainen,BUF,C,26,1997-10-29,FIN,68,187,-,-,-,-,-
Joel Kiviranta,DAL,L,28,1996-03-23,FIN,71,185,-,-,-,-,-
Cole Schwindt,FLA,C,22,2001-04-25,CAN,74,182,2019,FLA,3,19,81
Aliaksei Protas,WSH,C,23,2001-01-06,BLR,78,225,2019,WSH,3,29,91
Viktor Lodin,OTT,C,24,1999-06-02,SWE,74,185,2019,OTT,4,1,94
Santeri Hatakka,S.J,D,23,2001-01-15,FIN,73,191,2019,S.J,6,29,184
Valtteri Puustinen,PIT,R,24,1999-06-04,FIN,69,183,2019,PIT,7,17,203
Zac Jones,NYR,D,23,2000-10-18,USA,70,178,2019,NYR,3,6,68
Matias Maccelli,ARI,L,23,2000-10-14,FIN,71,176,2019,ARI,4,5,98
Nicholas Abruzzese,TOR,C,24,1999-06-04,USA,71,183,2019,TOR,4,31,124
Tyce Thompson,N.J,R,24,1999-07-12,CAN,73,175,2019,N.J,4,3,96
Bryce Kindopp,ANA,R,24,1999-06-14,CAN,73,185,-,-,-,-,-
Ben McCartney,ARI,L,22,2001-07-13,CAN,72,182,2020,ARI,7,18,204
Zachary Hayes,VGK,D,24,1999-04-24,CAN,75,219,-,-,-,-,-
Drew O'Connor,PIT,L,25,1998-06-09,USA,75,200,-,-,-,-,-
Brandon Biro,BUF,L,26,1998-03-11,CAN,71,170,-,-,-,-,-
Cole Smith,NSH,L,28,1995-10-28,USA,75,195,-,-,-,-,-
Connor Mackey,CGY,D,27,1996-09-12,USA,74,197,-,-,-,-,-
Mitchell Chaffee,MIN,R,26,1998-01-26,USA,73,201,-,-,-,-,-
Jack Ahcan,BOS,D,26,1997-05-18,USA,68,180,-,-,-,-,-
Braden Schneider,NYR,D,22,2001-09-20,CAN,75,208,2020,NYR,1,19,19
Lucas Raymond,DET,L,21,2002-03-28,SWE,71,176,2020,DET,1,4,4
Marco Rossi,MIN,C,22,2001-09-23,AUT,69,182,2020,MIN,1,9,9
Jake Neighbours,STL,L,21,2002-03-29,CAN,72,201,2020,STL,1,26,26
Seth Jarvis,CAR,C,22,2002-02-01,CAN,70,175,2020,CAR,1,13,13
Jack Quinn,BUF,R,22,2001-09-19,CAN,73,185,2020,BUF,1,8,8
Alexis Lafrenière,NYR,L,22,2001-10-11,CAN,73,195,2020,NYR,1,1,1
Dawson Mercer,N.J,C,22,2001-10-27,CAN,72,180,2020,N.J,1,18,18
Justin Barron,"COL, MTL",D,22,2001-11-15,CAN,74,201,2020,COL,1,25,25
Anton Lundell,FLA,C,22,2001-10-03,FIN,73,185,2020,FLA,1,12,12
Tim Stützle,OTT,L,22,2002-01-15,DEU,72,193,2020,OTT,1,3,3
Lukas Reichel,CHI,L,21,2002-05-17,DEU,72,170,2020,CHI,1,17,17
Quinton Byfield,L.A,C,21,2002-08-19,CAN,77,220,2020,L.A,1,2,2
Alexander Holtz,N.J,R,22,2002-01-23,SWE,72,195,2020,N.J,1,7,7
Thomas Bordeleau,S.J,C,22,2002-01-03,USA,70,175,2020,S.J,2,7,38
Jamie Drysdale,ANA,D,21,2002-04-08,CAN,71,183,2020,ANA,1,6,6
Hendrix Lapierre,WSH,C,22,2002-02-09,CAN,72,180,2020,WSH,1,22,22
Cole Perfetti,WPG,C,22,2002-01-01,CAN,71,184,2020,WPG,1,10,10
Jacob Perreault,ANA,R,21,2002-04-15,CAN,71,192,2020,ANA,1,27,27
JJ Peterka,BUF,R,22,2002-01-14,DEU,72,189,2020,BUF,2,3,34
Isaak Phillips,CHI,D,22,2001-09-28,CAN,75,205,2020,CHI,5,17,141
Adam Raska,S.J,R,22,2001-09-25,CZE,70,178,2020,S.J,7,15,201
Alexander Barabanov,S.J,L,29,1994-06-17,RUS,70,195,-,-,-,-,-
Radim Zohorna,PIT,L,27,1996-04-29,CZE,78,220,-,-,-,-,-
Linus Sandin,PHI,R,27,1996-05-19,SWE,73,209,-,-,-,-,-
Artem Zub,OTT,D,28,1995-10-03,RUS,74,200,-,-,-,-,-
Jeff Malott,WPG,L,27,1996-08-07,CAN,75,201,-,-,-,-,-
Yegor Chinakhov,CBJ,R,23,2001-02-01,RUS,73,204,2020,CBJ,1,21,21
Daniil Miromanov,VGK,D,26,1997-07-11,RUS,76,200,-,-,-,-,-
Alex Steeves,TOR,C,24,1999-12-10,USA,72,196,-,-,-,-,-
Mike Hardman,CHI,L,25,1999-02-05,USA,74,205,-,-,-,-,-
Matt Kiersted,FLA,D,25,1998-04-14,USA,72,181,-,-,-,-,-
Walker Duehr,CGY,R,26,1997-11-23,USA,74,210,-,-,-,-,-
Jackson Cates,PHI,C,26,1997-09-28,USA,72,190,-,-,-,-,-
Janis Moser,ARI,D,23,2000-06-06,CHE,73,173,2021,ARI,2,28,60
Kent Johnson,CBJ,C,21,2002-10-18,CAN,72,175,2021,CBJ,1,5,5
Matty Beniers,SEA,C,21,2002-11-05,USA,74,178,2021,SEA,1,2,2
William Eklund,S.J,"C, L",21,2002-10-12,SWE,71,181,2021,S.J,1,7,7
Owen Power,BUF,D,21,2002-11-22,CAN,78,218,2021,BUF,1,1,1
Cole Sillinger,CBJ,C,20,2003-05-16,USA,73,201,2021,CBJ,1,12,12
Mason McTavish,ANA,C,21,2003-01-30,CHE,72,213,2021,ANA,1,3,3
Kirill Semyonov,TOR,C,29,1994-10-27,RUS,72,171,-,-,-,-,-
Jesper Froden,BOS,R,29,1994-09-21,SWE,70,179,-,-,-,-,-
Marc McLaughlin,BOS,C,24,1999-07-26,USA,72,203,-,-,-,-,-
Nick Blankenburg,CBJ,D,25,1998-05-12,USA,69,177,-,-,-,-,-
Ben Meyers,COL,C,25,1998-11-15,USA,71,194,-,-,-,-,-
